,name,link,image,price
75, Brooks Brothers Red Fleece Men's Gingham Oxford Shirt,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-gingham-oxford-shirt?ID=5365515&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D39,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-gingham-oxford-shirt?ID=5365515&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D39,$49.50
76, Brooks Brothers Red Fleece Men's Oxford Fun Shirt,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-oxford-fun-shirt?ID=5365519&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D40,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-oxford-fun-shirt?ID=5365519&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D40,$59.50
77, Polo Ralph Lauren Men's Long-Sleeve Checked Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-long-sleeve-checked-oxford-shirt?ID=5005347&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D41,https://www.macys.com/shop/product/polo-ralph-lauren-mens-long-sleeve-checked-oxford-shirt?ID=5005347&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D41,$89.50
78, Brooks Brothers Red Fleece Men's Oxford Slim-Fit Shirt,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-oxford-slim-fit-shirt?ID=4790186&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D42,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-oxford-slim-fit-shirt?ID=4790186&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D42,$49.50
79, Polo Ralph Lauren Men's Long-Sleeve Multi-Striped Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-long-sleeve-multi-striped-oxford-shirt?ID=2048224&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D43,https://www.macys.com/shop/product/polo-ralph-lauren-mens-long-sleeve-multi-striped-oxford-shirt?ID=2048224&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D43,$89.50
80, Polo Ralph Lauren Men's Classic Fit Knit Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-knit-oxford-shirt?ID=5188137&CategoryID=20640#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D44,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-knit-oxford-shirt?ID=5188137&CategoryID=20640#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D44,$98.50
81," American Rag Men's Chambray Oxford Shirt, Created for Macy's",https://www.macys.com/shop/product/american-rag-mens-chambray-oxford-shirt-created-for-macys?ID=5139729&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D45,https://www.macys.com/shop/product/american-rag-mens-chambray-oxford-shirt-created-for-macys?ID=5139729&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D45,Now $22.50
82, Polo Ralph Lauren Men's Iconic Plaid Slim-Fit Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-iconic-plaid-slim-fit-oxford-shirt?ID=4603213&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D46,https://www.macys.com/shop/product/polo-ralph-lauren-mens-iconic-plaid-slim-fit-oxford-shirt?ID=4603213&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D46,Now $26.86
83, Ben Sherman Men's Slim-Fit White Solid Oxford Dress Shirt,https://www.macys.com/shop/product/ben-sherman-mens-slim-fit-white-solid-oxford-dress-shirt?ID=4760755&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D47,https://www.macys.com/shop/product/ben-sherman-mens-slim-fit-white-solid-oxford-dress-shirt?ID=4760755&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D47,Sale $68.99
84, Polo Ralph Lauren Men's Pinpoint Oxford Solid Dress Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-pinpoint-oxford-solid-dress-shirt?ID=2045081&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D48,https://www.macys.com/shop/product/polo-ralph-lauren-mens-pinpoint-oxford-solid-dress-shirt?ID=2045081&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D48,$98.50
